rep_path	化学式	N	reason
xqd/8-Sb-X/0-Sb/2-bond/1-opt	Sb2	2	原子数过小(N=2)，疑晶态原胞
xqd/8-Sb-X/1-Al/4-bond/1-opt	AlSb	2	原子数过小(N=2)，疑晶态原胞
xqd/8-Sb-X/10-Zr/5-bond/1-opt	SbZr	2	原子数过小(N=2)，疑晶态原胞
xqd/8-Sb-X/2-Zn/4-bond/1-opt	SbZn	2	原子数过小(N=2)，疑晶态原胞
xqd/8-Sb-X/3-Ga/3-bond/1-opt	GaSb	2	原子数过小(N=2)，疑晶态原胞
xqd/8-Sb-X/4-Cd/3-bond/1-opt	CdSb	2	原子数过小(N=2)，疑晶态原胞
xqd/8-Sb-X/5-In/3-bond/1-opt	InSb	2	原子数过小(N=2)，疑晶态原胞
xqd/8-Sb-X/6-Sn/3-bond/1-opt	SbSn	2	原子数过小(N=2)，疑晶态原胞
xqd/8-Sb-X/7-Sc/3-bond/1-opt	SbSc	2	原子数过小(N=2)，疑晶态原胞
xqd/8-Sb-X/8-Ti/3-bond/1-opt	SbTi	2	原子数过小(N=2)，疑晶态原胞
xqd/8-Sb-X/9-Y/5-bond/1-opt	SbY	2	原子数过小(N=2)，疑晶态原胞
ysj/optical/c/AIST/opt	Ag4In4Sb49Te24	81	路径标记晶态(bond/crystal/c)
ysj/optical/c/AIST/optical-pri/isif3	Ag4In4Sb49Te24	81	路径标记晶态(bond/crystal/c)
ysj/optical/c/GSS225/opt	Ge16Sb16Se40	72	路径标记晶态(bond/crystal/c)
ysj/optical/c/GSST2241/opt	Ge16Sb16Se32Te8	72	路径标记晶态(bond/crystal/c)
ysj/optical/c/GST225/OPT	Ge8Sb8Te20	36	路径标记晶态(bond/crystal/c)
ysj/optical/c/GeSeTe/3-opt	Ge50Se14Te136	200	路径标记晶态(bond/crystal/c)
ysj/optical/c/Sb2Se3/1-POSCAR1/2-opt	Sb8Se12	20	路径标记晶态(bond/crystal/c)
ysj/optical/c/crte3/opt	Cr8Te24	32	路径标记晶态(bond/crystal/c)
ysj/optical/c/crtese/3-opt/x	Cr40Se8Te112	160	路径标记晶态(bond/crystal/c)
ysj/optical/c/crtese/3-opt/y	Cr40Se8Te112	160	路径标记晶态(bond/crystal/c)
ysj/optical/c/crtese/3-opt/z	Cr40Se8Te112	160	路径标记晶态(bond/crystal/c)
yyf/1-Te/4-GST225/1-opt	Ge2Sb2Te5	9	原子数过小(N=9)，疑晶态原胞
yyf/1-Te/5-IST312/1-h-ist/1-opt	In6Sb2Te4	12	原子数过小(N=12)，疑晶态原胞
yyf/5-O/5-crystal/5-nGa/1-opt	Ga8O12	20	原子数过小(N=20)，疑晶态原胞
