帧ID,数据集,化学式,完整化学式,体系原子数,构型标签,能量_eV,能量_eV_per_atom,力_最大模长_eV_per_A,力_RMS_eV_per_A,体积_Angstrom3,密度_Atom_per_Angstrom3,源文件,帧序号
GST225:00000,GST225,Ge,Ge64,64,Ge,-255.101559,-3.985962,10.888651,5.05059,1401.7168,0.045658,data/MLIP_training_data_DFT_labeled/GST225.xyz,0
GST225:00001,GST225,Ge,Ge64,64,Ge,-266.025002,-4.156641,9.323214,3.746851,1557.8132,0.041083,data/MLIP_training_data_DFT_labeled/GST225.xyz,1
GST225:00002,GST225,Ge,Ge8,8,Ge,-30.501825,-3.812728,9.956555,6.374632,185.6978,0.043081,data/MLIP_training_data_DFT_labeled/GST225.xyz,2
GST225:00003,GST225,Ge,Ge8,8,Ge,-35.933987,-4.491748,1e-06,0.0,191.388,0.0418,data/MLIP_training_data_DFT_labeled/GST225.xyz,3
GST225:00004,GST225,Ge,Ge16,16,Ge,-66.603337,-4.162709,2.269146,1.307552,310.4651,0.051536,data/MLIP_training_data_DFT_labeled/GST225.xyz,4
GST225:00005,GST225,Ge,Ge24,24,Ge,-90.655048,-3.777294,12.134333,5.895562,497.8534,0.048207,data/MLIP_training_data_DFT_labeled/GST225.xyz,5
GST225:00006,GST225,Ge,Ge8,8,Ge,-34.458305,-4.307288,3.912234,2.365663,199.2548,0.04015,data/MLIP_training_data_DFT_labeled/GST225.xyz,6
GST225:00007,GST225,Ge,Ge8,8,Ge,-32.547363,-4.06842,4.408222,3.174374,224.4296,0.035646,data/MLIP_training_data_DFT_labeled/GST225.xyz,7
GST225:00008,GST225,Ge,Ge64,64,Ge,-240.405139,-3.75633,19.020775,6.878536,1316.7833,0.048603,data/MLIP_training_data_DFT_labeled/GST225.xyz,8
GST225:00009,GST225,Ge,Ge136,136,Ge,-552.005171,-4.058862,12.182683,4.717182,3595.1084,0.037829,data/MLIP_training_data_DFT_labeled/GST225.xyz,9
GST225:00010,GST225,Ge,Ge8,8,Ge,-33.196839,-4.149605,6.449875,3.489613,215.6321,0.0371,data/MLIP_training_data_DFT_labeled/GST225.xyz,10
GST225:00011,GST225,Ge,Ge8,8,Ge,-35.360403,-4.42005,0.0,0.0,221.7443,0.036078,data/MLIP_training_data_DFT_labeled/GST225.xyz,11
