path	type	species	counts	natoms	contcar_size	tebeg	teend	nsw
GK_xum02/xqd/5-MVB/3-PbTe/0-model/3-opt	opt	Pb Te	150 150	300	33303			50
GK_xum02/xqd/5-MVB/4-SnS/0-model/3-opt	opt	Sn S	150 150	300	33303			50
GK_xum02/xqd/5-MVB/2-PbSe/0-model/3-opt	opt	Pb Se	150 150	300	33303			50
GK_xum02/xqd/5-MVB/6-SnTe/0-model/3-opt	opt	Sn Te	150 150	300	33303			30
GK_xum02/xqd/5-MVB/7-GaAs/0-model/3-opt	opt	Ga As	150 150	300	33303			200
GK_xum02/xqd/5-MVB/1-PbS/1-model/3-opt	opt	Pb S	150 150	300	33303			200
GK_xum02/xqd/5-MVB/1-PbS/0-model/3-opt	opt	Pb S	150 150	300	33303			30
GK_xum02/xqd/8-In-doped/1-GeTe/2-opt	opt	In Ge Te	30 120 150	300	33314			300
GK_xum02/xqd/8-In-doped/1-GeTe/03-opt	opt	In Ge Te	30 120 150	300	33314			300
GK_xum02/xqd/8-In-doped/2-Sb2Te3/2-opt	opt	In Sb Te	30 90 180	300	33314			500
GK_xum02/xqd/8-In-doped/2-Sb2Te3/03-opt	opt	In Sb Te	30 90 180	300	33314			500
GK_xum02/xqd/8-In-doped/3-GST225/2-opt	opt	In Ge Sb Te	30 53 53 170	306	33985			300
GK_xum02/xqd/8-In-doped/4-Sb/2-opt	opt	In Sb	30 270	300	33303			300
GK_xum02/xqd/8-In-doped/4-Sb/03-opt	opt	In Sb	30 270	300	33303			300
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/2-opt	opt	In Ge Sb	30 40 230	300	33314			300
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/03-opt	opt	In Ge Sb	30 40 230	300	33314			300
GK_xum02/xqd/1-PCM/1-Sb/1-model/3-opt	opt	Sb	300	300	33292			100
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/3-opt	opt	Ge Sb	45 255	300	33303			100
GK_xum02/xqd/1-PCM/10-GeBiTe/1-model/3-opt	opt	Ge Bi Te	43 86 172	301	33424			50
GK_xum02/xqd/1-PCM/4-GeTe/1-model/3-opt	opt	Ge Te	150 150	300	33303			100
GK_xum02/xqd/1-PCM/4-GeTe/2-model/3-opt	opt	Ge Te	150 150	300	33303			200
GK_xum02/xqd/1-PCM/4-GeTe/3-512/3-opt	opt	Ge Te	256 256	512	56623			1000
GK_xum02/xqd/1-PCM/4-GeTe/4-cubic/1-64atom/1-opt	opt	Ge Te	32 32	64	7343			1000
GK_xum02/xqd/1-PCM/5-Sb2Te3/1-model/3-opt	opt	Sb Te	120 180	300	33303			
GK_xum02/xqd/1-PCM/5-Sb2Te3/2-model/3-opt	opt	Sb Te	120 180	300	33303			1000
GK_xum02/xqd/1-PCM/5-Sb2Te3/3-model/3-opt	opt	Sb Te	120 180	300	33303			1000
GK_xum02/xqd/1-PCM/5-Sb2Te3/4-model/3-opt	opt	Sb Te	120 180	300	33303			1000
