rep_path	formula	N	reason
nscc1741_XM/grc/GW/1-SnTe/1-opt	Sn4Te4	8	原子数过小(N=8)
nscc1741_XM/xqd/1-PCM/1-GeTe-cubic/1/1-opt	Ge4Te4	8	原子数过小(N=8)
nscc1741_XM/xqd/1-PCM/1-GeTe-cubic/2/1-opt	Ge4Te4	8	原子数过小(N=8)
nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/crystal/1-opt3	Sb16Se24	40	路径标记晶态(=c/crystal/bond)
nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/crystal/2-MD-300k	Sb16Se24	40	路径标记晶态(=c/crystal/bond)
nscc1741_XM/xumeng/10-OTS-pressure/cubic-GeSe/1-opt2	Ge4Se4	8	原子数过小(N=8)
nscc1741_XM/xumeng/12-ml-dielectric/0-GST/20-GST225/c-opt2	Ge2Sb2Te5	9	原子数过小(N=9)
nscc1741_XM/xumeng/12-ml-dielectric/0-GST/25-GST124/c-opt2	Ge3Sb6Te12	21	原子数过小(N=21)
nscc1741_XM/xumeng/12-ml-dielectric/10-Pb/1-PbS-cubic/c/2-opt2	Pb4S4	8	路径标记晶态(=c/crystal/bond)
nscc1741_XM/xumeng/12-ml-dielectric/10-Pb/2-PbSe-cubic/c/2-opt2	Pb4Se4	8	路径标记晶态(=c/crystal/bond)
nscc1741_XM/xumeng/12-ml-dielectric/10-Pb/3-PbTe-cubic/c/2-opt2	Pb4Te4	8	路径标记晶态(=c/crystal/bond)
nscc1741_XM/xumeng/12-ml-dielectric/12-As/4-AsS-monoclinic/c/1-opt	As16S16	32	路径标记晶态(=c/crystal/bond)
nscc1741_XM/xumeng/12-ml-dielectric/12-As/6-AsTe-cubic/c/1-opt	As4Te4	8	路径标记晶态(=c/crystal/bond)
nscc1741_XM/xumeng/12-ml-dielectric/13-Sb/2-Sb2Se3-orthorhombic/c/opt3	Sb8Se12	20	路径标记晶态(=c/crystal/bond)
nscc1741_XM/xumeng/12-ml-dielectric/13-Sb/2-Sb2Se3-orthorhombic/c-bader/opt3	Sb8Se12	20	原子数过小(N=20)
nscc1741_XM/xumeng/12-ml-dielectric/13-Sb/3-Sb2Te3-trigonal/c-opt3	Sb6Te9	15	原子数过小(N=15)
nscc1741_XM/xumeng/12-ml-dielectric/13-Sb/5-SbTe/opt3	Sb6Te6	12	原子数过小(N=12)
nscc1741_XM/xumeng/12-ml-dielectric/4-In/3-InTe-cubic/c-die2-tetragonal	In4Te4	8	原子数过小(N=8)
nscc1741_XM/xumeng/12-ml-dielectric/4-In/3-InTe-cubic/c-opt2	In4Te4	8	原子数过小(N=8)
nscc1741_XM/xumeng/12-ml-dielectric/8-Ge/1-GeS-orthorhombic/1-c/opt3	Ge4S4	8	原子数过小(N=8)
nscc1741_XM/xumeng/12-ml-dielectric/8-Ge/2-GeSe-orthorhombic/c-GeSe/opt3	Ge4Se4	8	原子数过小(N=8)
nscc1741_XM/xumeng/12-ml-dielectric/9-Sn/2-SnSe-orthorhombic/c/opt3	Se4Sn4	8	路径标记晶态(=c/crystal/bond)
nscc1741_XM/xumeng/13-dielectric/1-GeS/1-c/opt3	Ge4S4	8	原子数过小(N=8)
nscc1741_XM/xumeng/13-dielectric/2-SnSe/3-c/opt3	Se4Sn4	8	原子数过小(N=8)
nscc1741_XM/xumeng/13-dielectric/2-SnSe/3-c/die	Se4Sn4	8	原子数过小(N=8)
nscc1741_XM/xumeng/13-dielectric/4-As2S3/opt3	As8S12	20	原子数过小(N=20)
nscc1741_XM/xumeng/13-dielectric/5-As2Se3/opt3	As8Se12	20	原子数过小(N=20)
nscc1741_XM/xumeng/13-dielectric/6-ZnSe/2-die	Se2Zn2	4	原子数过小(N=4)
nscc1741_XM/xumeng/13-dielectric/PCMs/1-As2Te3-9897/opt3	As6Te9	15	原子数过小(N=15)
