model_key	rep_path	how	n_merged	formula	species	counts	natoms	tebeg
GK_xum02/grc/1-OTS/1-GeSe	GK_xum02/grc/1-OTS/1-GeSe/2-MD	md-first-frame	1	Ge150Se150	Ge Se	150 150	300	300.0
GK_xum02/grc/1-OTS/3-GATS	GK_xum02/grc/1-OTS/3-GATS/4-MD	md-first-frame	1	Ge30As90Te165Si15	Ge As Te Si	30 90 165 15	300	300.0
GK_xum02/grc/1-OTS/3-GATS/GATS/1-GATS	GK_xum02/grc/1-OTS/3-GATS/GATS/1-GATS/3-opt	opt-CONTCAR	1	Ge30As90Te165Si15	Ge As Te Si	30 90 165 15	300	
GK_xum02/grc/1-OTS/3-GATS/GATS/1-GATS/analysis	GK_xum02/grc/1-OTS/3-GATS/GATS/1-GATS/analysis/1-opt	opt-CONTCAR	1	Ge30As90Te165Si15	Ge As Te Si	30 90 165 15	300	
GK_xum02/grc/1-OTS/3-GATS/GATS/2-GATS	GK_xum02/grc/1-OTS/3-GATS/GATS/2-GATS/1-opt	opt-CONTCAR	1	Ge30As90Te165Si15	Ge As Te Si	30 90 165 15	300	
GK_xum02/grc/1-OTS/4-GATSN	GK_xum02/grc/1-OTS/4-GATSN/1-opt	opt-CONTCAR	2	Ge28As86Te156Si15N15	Ge As Te Si N	28 86 156 15 15	300	
GK_xum02/grc/1-OTS/IST312	GK_xum02/grc/1-OTS/IST312/3-opt	opt-CONTCAR	1	In150Sb50Te100	In Sb Te	150 50 100	300	
GK_xum02/grc/1-OTS/InTe/19-InTe	GK_xum02/grc/1-OTS/InTe/19-InTe/MD	md-first-frame	1	In30Te270	In Te	30 270	300	300.0
GK_xum02/grc/1-OTS/InTe/19-InTe/MD.new-MGS	GK_xum02/grc/1-OTS/InTe/19-InTe/MD.new-MGS/3-opt	opt-CONTCAR	2	In30Te270	In Te	30 270	300	
GK_xum02/grc/1-OTS/InTe/19-InTe/MD/new	GK_xum02/grc/1-OTS/InTe/19-InTe/MD/new	md-first-frame	1	In30Te270	In Te	30 270	300	300.0
