path	type	species	counts	natoms	contcar_size	tebeg	teend	nsw
xqd/1-C-Sb2Te3/10%/3-opt	opt	Sb Te C	130 194 36	360	39914			1000
xqd/1-C-Sb2Te3/0-Sb2Te3/3-opt	opt	Sb Te	144 216	360	39903			300
xqd/1-C-Sb2Te3/15%/3-opt	opt	Sb Te C	123 183 54	360	39914			1000
xqd/1-C-Sb2Te3/5%/3-opt	opt	Sb Te C	137 205 18	360	39914			1000
xqd/GST467/0-467/2-300K/opt	opt	Ge Sb Te	72 108 126	306	33974			300
xqd/GST467/0-467/21-300K/opt	opt	Ge Sb Te	72 108 126	306	33974			300
xqd/GST467/1-225/21-300K/opt	opt	Ge Sb Te	68 68 170	306	33974			300
xqd/GST467/1-225/2-300K/opt	opt	Ge Sb Te	68 68 170	306	33974			300
xqd/7-Tr/4-GST225/3-function/1-64atoms/5-BLYP/3-opt	opt	Ge Sb Te	13 13 32	58	6694			500
xqd/7-Tr/4-GST225/3-function/1-64atoms/1-HSE06/3-opt	opt	Ge Sb Te	13 13 32	58	6694			500
xqd/7-Tr/4-GST225/3-function/1-64atoms/4-HSE-0.5/3-opt	opt	Ge Sb Te	13 13 32	58	6694			500
xqd/7-Tr/4-GST225/1-64atom/3-model/22-300K-4kstep/opt	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/1-64atom/3-model/21-300K-2kstep/opt	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/1-64atom/1-model/equb/4-opt	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/1-64atom/1-model/23-300K-6kstep/opt	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/1-64atom/1-model/21-300K-2kstep/opt	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/1-64atom/1-model/22-300K-4kstep/opt	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/1-64atom/2-model/22-300K-4kstep/opt	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/1-64atom/2-model/21-300K-2kstep/opt	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/2-216atom/2-model/21-300K-2kstep/opt	opt	Ge Sb Te	43 43 108	194	21654			300
xqd/7-Tr/4-GST225/2-216atom/1-model/23-300K-6kstep/opt	opt	Ge Sb Te	43 43 108	194	21654			300
xqd/7-Tr/4-GST225/2-216atom/1-model/22-300K-4kstep/opt	opt	Ge Sb Te	43 43 108	194	21654			500
xqd/7-Tr/4-GST225/2-216atom/1-model/21-300K-2kstep/opt	opt	Ge Sb Te	43 43 108	194	21654			500
xqd/7-Tr/4-GST225/2-216atom/3-model/21-300K-2kstep/opt	opt	Ge Sb Te	43 43 108	194	21654			300
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/2-opt-HSE03	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/2-opt-HSE03/1-scale	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/3-opt-PBE0	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/3-opt-PBE0/1-scale	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/1-opt-HSE06	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/1-opt-HSE06/1-scale	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/4-B3LYP	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/4-B3LYP/1-scale	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/5-BLYP	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/7-Tr/4-GST225/4-opt-hybrid/2-125atoms/1-HSE06	opt	Ge Sb Te	28 28 69	125	14064			300
xqd/7-Tr/4-GST225/4-opt-hybrid/2-125atoms/2-HSE03	opt	Ge Sb Te	28 28 69	125	14064			300
xqd/7-Tr/4-GST225/4-opt-hybrid/2-125atoms/5-BLYP	opt	Ge Sb Te	28 28 69	125	14064			300
xqd/7-Tr/4-GST225/4-opt-hybrid/2-125atoms/3-PBE0	opt	Ge Sb Te	28 28 69	125	14064			300
xqd/7-Tr/4-GST225/4-opt-hybrid/2-125atoms/4-B3LYP	opt	Ge Sb Te	28 28 69	125	14064			300
xqd/7-Tr/2-GeSe2/2-BLYP/194atoms/3-opt	opt	Ge Se	64 130	194	21643			500
xqd/8-Sb-X/1-Al/4-bond/1-opt	opt	Al Sb	1 1	2	523			300
xqd/8-Sb-X/8-Ti/3-bond/1-opt	opt	Ti Sb	1 1	2	523			300
xqd/8-Sb-X/3-Ga/3-bond/1-opt	opt	Ga Sb	1 1	2	523			300
xqd/8-Sb-X/4-Cd/3-bond/1-opt	opt	Cd Sb	1 1	2	523			300
xqd/8-Sb-X/6-Sn/3-bond/1-opt	opt	Sn Sb	1 1	2	523			300
xqd/8-Sb-X/0-Sb/2-bond/1-opt	opt	Sb	2	2	512			300
xqd/8-Sb-X/2-Zn/4-bond/1-opt	opt	Zn Sb	1 1	2	523			300
xqd/8-Sb-X/5-In/3-bond/1-opt	opt	In Sb	1 1	2	523			300
xqd/8-Sb-X/9-Y/0-opt	opt	Y Sb	45 255	300	33303			300
xqd/8-Sb-X/9-Y/5-bond/1-opt	opt	Y Sb	1 1	2	523			300
xqd/8-Sb-X/10-Zr/0-opt	opt	Zr Sb	45 255	300	33303			300
xqd/8-Sb-X/10-Zr/5-bond/1-opt	opt	Zr Sb	1 1	2	523			300
xqd/8-Sb-X/7-Sc/3-bond/1-opt	opt	Sc Sb	1 1	2	523			300
xqd/8-Sb-X/11-Sb2Te3-Y/3-opt	opt	Sb Te Y	108 162 30	300	33314			300
xqd/12-aging-process/1-GST/29/3-opt	opt	Ge Sb Te	48 48 120	216	24074			300
xqd/12-aging-process/1-GST/27/3-opt	opt	Ge Sb Te	48 48 120	216	24074			300
xqd/12-aging-process/1-GST/28/3-opt	opt	Ge Sb Te	48 48 120	216	24074			300
xqd/12-aging-process/2-GeTe/32/3-opt	opt	Ge Te	100 100	200	22303			300
xqd/12-aging-process/2-GeTe/34/3-opt	opt	Ge Te	100 100	200	22303			300
xqd/12-aging-process/2-GeTe/30/3-opt	opt	Ge Te	100 100	200	22303			300
xqd/12-aging-process/2-GeTe/31/3-opt	opt	Ge Te	100 100	200	22303			300
xqd/12-aging-process/2-GeTe/33/3-opt	opt	Ge Te	100 100	200	22303			300
xqd/12-aging-process/3-Sb2Te3/24/3-opt	opt	Sb Te	80 120	200	22303			300
xqd/12-aging-process/3-Sb2Te3/26/3-opt	opt	Sb Te	80 120	200	22303			300
xqd/12-aging-process/3-Sb2Te3/25/3-opt	opt	Sb Te	80 120	200	22303			300
xqd/12-aging-process/cry/3-ST/3_3_3/4/1-opt	opt	Sb Te	72 108	180	20103			300
xqd/12-aging-process/cry/3-ST/3_3_3/4/2-opt2	opt	Sb Te	72 108	180	20103			300
xqd/12-aging-process/cry/3-ST/3_3_3/2/2-opt2	opt	Sb Te	72 108	180	20103			300
xqd/12-aging-process/cry/3-ST/3_3_3/2/1-opt	opt	Sb Te	72 108	180	20103			300
xqd/12-aging-process/cry/3-ST/3_3_3/5/1-opt	opt	Sb Te	72 108	180	20103			300
xqd/12-aging-process/cry/3-ST/3_3_3/5/2-opt2	opt	Sb Te	72 108	180	20103			300
xqd/12-aging-process/cry/3-ST/3_3_3/3/2-opt2	opt	Sb Te	72 108	180	20103			300
xqd/12-aging-process/cry/3-ST/3_3_3/3/1-opt	opt	Sb Te	72 108	180	20103			300
xqd/12-aging-process/cry/3-ST/3_3_3/1/1-opt	opt	Sb Te	72 108	180	20103			300
xqd/12-aging-process/cry/3-ST/3_3_3/1/2-opt2	opt	Sb Te	72 108	180	20103			300
xqd/12-aging-process/cry/3-ST/2_2_2/5/1-opt	opt	Sb Te	21 32	53	6133			300
xqd/12-aging-process/cry/3-ST/2_2_2/5/2-opt2	opt	Sb Te	21 32	53	6133			300
xqd/12-aging-process/cry/3-ST/2_2_2/3/1-opt	opt	Sb Te	21 32	53	6133			300
xqd/12-aging-process/cry/3-ST/2_2_2/3/2-opt2	opt	Sb Te	21 32	53	6133			300
xqd/12-aging-process/cry/3-ST/2_2_2/2/1-opt	opt	Sb Te	21 32	53	6133			300
xqd/12-aging-process/cry/3-ST/2_2_2/2/2-opt2	opt	Sb Te	21 32	53	6133			300
xqd/12-aging-process/cry/3-ST/2_2_2/4/1-opt	opt	Sb Te	21 32	53	6133			300
xqd/12-aging-process/cry/3-ST/2_2_2/4/2-opt2	opt	Sb Te	21 32	53	6133			300
xqd/12-aging-process/cry/3-ST/2_2_2/1/1-opt	opt	Sb Te	21 32	53	6133			300
xqd/12-aging-process/cry/3-ST/2_2_2/1/2-opt2	opt	Sb Te	21 32	53	6133			300
xqd/12-aging-process/cry/1-GeTe/1-opt	opt	Ge Te	32 32	64	7343			300
xqd/12-aging-process/cry/2-GST/3_3_3/5/1-opt	opt	Ge Sb Te	43 43 108	194	21654			300
xqd/12-aging-process/cry/2-GST/3_3_3/5/2-opt2	opt	Ge Sb Te	43 43 108	194	21654			300
xqd/12-aging-process/cry/2-GST/3_3_3/3/1-opt	opt	Ge Sb Te	43 43 108	194	21654			300
xqd/12-aging-process/cry/2-GST/3_3_3/3/2-opt2	opt	Ge Sb Te	43 43 108	194	21654			300
xqd/12-aging-process/cry/2-GST/3_3_3/1/1-opt	opt	Ge Sb Te	43 43 108	194	21654			300
xqd/12-aging-process/cry/2-GST/3_3_3/1/2-opt2	opt	Ge Sb Te	43 43 108	194	21654			300
xqd/12-aging-process/cry/2-GST/3_3_3/4/1-opt	opt	Ge Sb Te	43 43 108	194	21654			300
xqd/12-aging-process/cry/2-GST/3_3_3/4/2-opt2	opt	Ge Sb Te	43 43 108	194	21654			300
xqd/12-aging-process/cry/2-GST/3_3_3/2/1-opt	opt	Ge Sb Te	43 43 108	194	21654			300
xqd/12-aging-process/cry/2-GST/3_3_3/2/2-opt2	opt	Ge Sb Te	43 43 108	194	21654			300
xqd/12-aging-process/cry/2-GST/2_2_2/4/2-opt2	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/12-aging-process/cry/2-GST/2_2_2/4/1-opt	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/12-aging-process/cry/2-GST/2_2_2/2/2-opt2	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/12-aging-process/cry/2-GST/2_2_2/2/1-opt	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/12-aging-process/cry/2-GST/2_2_2/5/2-opt2	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/12-aging-process/cry/2-GST/2_2_2/5/1-opt	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/12-aging-process/cry/2-GST/2_2_2/3/1-opt	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/12-aging-process/cry/2-GST/2_2_2/3/2-opt2	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/12-aging-process/cry/2-GST/2_2_2/1/1-opt	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/12-aging-process/cry/2-GST/2_2_2/1/2-opt2	opt	Ge Sb Te	13 13 32	58	6694			300
xqd/mcp_workspace/1-demo/inputs/prep	opt	Ge Sb Te N	43 43 108 10	204	22765			80
xqd/mcp_workspace/1-demo/inputs/prep_vol_relax	opt	Ge Sb Te N	43 43 108 10	204	22765			80
xqd/mcp_workspace/2026-05-20/M0_cp_vol/inputs/prep	opt	Ge Sb Te	13 13 32	58	6694			80
xqd/mcp_workspace/2026-05-20/M1_cp_vol/inputs/prep	opt	Ge Sb Te N	13 13 32 3	61	7035			80
