path	ibrion	tebeg	teend	nsw	potim	contcar_size	species	counts
xqd/1-C-Sb2Te3/10%/2-300K	0	3000	300	3000	3.00	92939	Sb Te C	130 194 36
xqd/1-C-Sb2Te3/10%/1-3000K	0	3000	3000	2000	3.00	92939	Sb Te C	130 194 36
xqd/1-C-Sb2Te3/10%/5-scf	-1			0	0.50	39914	Sb Te C	130 194 36
xqd/1-C-Sb2Te3/10%/3-opt	2			1000	0.50	39914	Sb Te C	130 194 36
xqd/1-C-Sb2Te3/10%/4-MD	0	300	300	2000	3.00	92939	Sb Te C	130 194 36
xqd/1-C-Sb2Te3/10%/4-MD/msd	0	600	600	4000	3.00	92939	Sb Te C	130 194 36
xqd/1-C-Sb2Te3/10%/6-dos	-1			0	0.50	39914	Sb Te C	130 194 36
xqd/1-C-Sb2Te3/0-Sb2Te3/msd	0	600	600	4000	3.00	77508	Sb Te	120 180
xqd/1-C-Sb2Te3/0-Sb2Te3/1-3000K	0	3000	3000	2000	3.00	92928	Sb Te	144 216
xqd/1-C-Sb2Te3/0-Sb2Te3/2-300K	0	3000	300	3000	3.00	92928	Sb Te	144 216
xqd/1-C-Sb2Te3/0-Sb2Te3/3-opt	2			300	0.50	39903	Sb Te	144 216
xqd/1-C-Sb2Te3/0-Sb2Te3/5-scf	-1			0	0.50	39903	Sb Te	144 216
xqd/1-C-Sb2Te3/15%/2-300K	0	3000	300	3000	3.00	92939	Sb Te C	123 183 54
xqd/1-C-Sb2Te3/15%/1-3000K	0	3000	3000	2000	3.00	92939	Sb Te C	123 183 54
xqd/1-C-Sb2Te3/15%/3-opt	2			1000	0.50	39914	Sb Te C	123 183 54
xqd/1-C-Sb2Te3/15%/4-MD	0	300	300	2000	3.00	92939	Sb Te C	123 183 54
xqd/1-C-Sb2Te3/15%/4-MD/msd	0	600	600	4000	3.00	92939	Sb Te C	123 183 54
xqd/1-C-Sb2Te3/15%/5-scf	-1			0	0.50	39914	Sb Te C	123 183 54
xqd/1-C-Sb2Te3/15%/6-dos	-1			0	0.50	39914	Sb Te C	123 183 54
xqd/1-C-Sb2Te3/5%/2-300K	0	3000	300	3000	3.00	92939	Sb Te C	137 205 18
xqd/1-C-Sb2Te3/5%/4-MD/msd	0	600	600	4000	3.00	92939	Sb Te C	137 205 18
xqd/1-C-Sb2Te3/5%/4-MD	0	300	300	2000	3.00	92939	Sb Te C	137 205 18
xqd/1-C-Sb2Te3/5%/1-3000K	0	3000	3000	2000	3.00	92939	Sb Te C	137 205 18
xqd/1-C-Sb2Te3/5%/3-opt	2			1000	0.50	39914	Sb Te C	137 205 18
