rep_path	struct_file	how	formula	tebeg
hhy/GST/3-opt	CONTCAR	opt-CONTCAR	Ge16Sb61Te108	
hhy/GST225/3-opt	CONTCAR	opt-CONTCAR	Ge43Sb43Te108	
hhy/IGST/3-opt	CONTCAR	opt-CONTCAR	Ge16Sb61Te108In13	
tsq/GeSe_Ag/0/4-opt	CONTCAR	opt-CONTCAR	Se50Ge50Ag5	
tsq/GeSe_Ag/1/4-opt	CONTCAR	opt-CONTCAR	Se50Ge50Ag10	
tsq/GeSe_Ag/2/4-opt	CONTCAR	opt-CONTCAR	Se50Ge50Ag15	
tsq/GeSe_Ag/3/4-opt	CONTCAR	opt-CONTCAR	Se50Ge50Ag20	
tsq/GeTe/DOS/1-relax	CONTCAR	opt-CONTCAR	Ge150Te150	
tsq/GeTe/remodeling	POSCAR	md-first-frame	Ge150Te150	300.0
tsq/sb-te/local_potential/0-sb	POSCAR	md-first-frame	Sb300	300.0
tsq/sb-te/local_potential/1-sb2te	POSCAR	md-first-frame	Sb200Te100	300.0
tsq/sb-te/local_potential/2-sb2te2	POSCAR	md-first-frame	Sb150Te150	300.0
tsq/sb-te/local_potential/3-sb2te3	POSCAR	md-first-frame	Sb120Te180	300.0
tsq/sb-te/local_potential/4-te	POSCAR	md-first-frame	Te300	300.0
tsq/sb-te/local_potential/5-sbte2	POSCAR	md-first-frame		300.0
tsq/sb-te/local_potential_1/0-sb	POSCAR	md-first-frame	Sb300	300.0
tsq/sb-te/local_potential_1/1-sb2te	POSCAR	md-first-frame	Sb200Te100	300.0
tsq/sb-te/local_potential_1/2-sb2te2	POSCAR	md-first-frame	Sb150Te150	300.0
tsq/sb-te/local_potential_1/3-sb2te3	POSCAR	md-first-frame	Sb120Te180	300.0
tsq/sb-te/local_potential_1/4-te	POSCAR	md-first-frame	Te300	300.0
tsq/sb-te/local_potential_2/0_sb	POSCAR	md-first-frame	Sb300	300.0
tsq/sb-te/local_potential_2/1_sb2te	POSCAR	md-first-frame	Sb200Te100	300.0
tsq/sb-te/local_potential_2/2_sb2te2	POSCAR	md-first-frame	Sb150Te150	300.0
tsq/sb-te/local_potential_2/3_sb2te3	POSCAR	md-first-frame	Sb120Te180	300.0
tsq/sb-te/local_potential_2/4_te	POSCAR	md-first-frame	Te300	300.0
tsq/sb-te/modeling/0-sb/2-opt	CONTCAR	opt-CONTCAR	Sb300	
tsq/sb-te/modeling/0-sb/3-md/300-1	POSCAR	md-first-frame	Sb300	300.0
tsq/sb-te/modeling/1-sb2te/2-opt	CONTCAR	opt-CONTCAR	Sb200Te100	
tsq/sb-te/modeling/1-sb2te/3-md/300K-1	POSCAR	md-first-frame	Sb200Te100	300.0
tsq/sb-te/modeling/2-sb2te2/2-opt	CONTCAR	opt-CONTCAR	Sb150Te150	
tsq/sb-te/modeling/3-sb2te3/2-opt	CONTCAR	opt-CONTCAR	Sb120Te180	
tsq/sb-te/modeling/4-te/2-opt	CONTCAR	opt-CONTCAR	Te300	
tsq/sb-te/modeling/5-sbte2/2-opt	CONTCAR	opt-CONTCAR	Sb100Te200	
wh/InTe/37/1.2local/1-10k/2-opt	CONTCAR	opt-CONTCAR	In90Te210	
wh/InTe/37/8-2000K-300K/opt	CONTCAR	opt-CONTCAR	In90Te210	
